Waf: Entering directory `/home/harshad/projects/ndn/ns-3/build'
Waf: Leaving directory `/home/harshad/projects/ndn/ns-3/build'
'build' finished successfully (2.222s)
Reading client-0.trace
frac = 0.826609
frac = 0.537157
frac = 0.704404
frac = 0.049155
frac = 0.141735
frac = 0.751637
frac = 0.104804
frac = 0.789829
frac = 0.791558
frac = 0.081568
frac = 0.726139
frac = 0.598332
frac = 0.201991
frac = 0.866061
frac = 0.684870
frac = 0.979743
frac = 0.827555
frac = 0.240433
frac = 0.567471
frac = 0.045783
frac = 0.560495
frac = 0.173534
frac = 0.046301
frac = 0.127460
frac = 0.378818
frac = 0.812382
frac = 0.128603
frac = 0.662760
frac = 0.132153
frac = 0.765928
frac = 0.520355
frac = 0.715405
frac = 0.404664
frac = 0.328795
frac = 0.001174
frac = 0.462997
frac = 0.710946
frac = 0.501439
frac = 0.542745
frac = 0.027106
frac = 0.730686
frac = 0.467268
frac = 0.985888
frac = 0.388350
frac = 0.944896
frac = 0.805551
frac = 0.856888
frac = 0.428418
frac = 0.206406
frac = 0.260779
frac = 0.686150
frac = 0.024161
frac = 0.424321
frac = 0.189020
frac = 0.554921
frac = 0.626585
frac = 0.186329
frac = 0.580575
frac = 0.101271
frac = 0.169281
frac = 0.120187
frac = 0.160216
frac = 0.333987
frac = 0.772324
frac = 0.418191
frac = 0.291484
frac = 0.240339
frac = 0.809262
frac = 0.433381
frac = 0.633146
frac = 0.814058
frac = 0.408415
frac = 0.964536
frac = 0.202051
frac = 0.614229
frac = 0.399980
frac = 0.391545
frac = 0.944565
frac = 0.997129
frac = 0.059333
frac = 0.750328
frac = 0.368405
frac = 0.501598
frac = 0.176177
frac = 0.575310
frac = 0.867814
frac = 0.334384
frac = 0.480262
frac = 0.447901
frac = 0.415911
frac = 0.919711
frac = 0.027253
frac = 0.753572
frac = 0.802138
frac = 0.865710
frac = 0.734283
frac = 0.912486
frac = 0.386494
frac = 0.439962
frac = 0.445983
frac = 0.405188
frac = 0.483675
frac = 0.105657
frac = 0.436096
frac = 0.417924
frac = 0.893791
frac = 0.103777
frac = 0.254832
frac = 0.937833
frac = 0.236739
frac = 0.826667
frac = 0.993724
frac = 0.330437
frac = 0.588082
frac = 0.919378
frac = 0.955620
frac = 0.409557
frac = 0.253941
frac = 0.799849
frac = 0.149935
frac = 0.754534
frac = 0.329780
frac = 0.725576
frac = 0.885378
frac = 0.130011
frac = 0.893121
frac = 0.372776
frac = 0.256600
frac = 0.990272
frac = 0.787233
frac = 0.478478
frac = 0.483537
frac = 0.453360
frac = 0.945052
frac = 0.645682
frac = 0.574349
frac = 0.422798
frac = 0.447978
frac = 0.481650
frac = 0.429171
frac = 0.255093
frac = 0.565828
frac = 0.279170
frac = 0.516350
frac = 0.318786
frac = 0.941995
frac = 0.119494
frac = 0.759000
frac = 0.994461
frac = 0.234961
frac = 0.155907
frac = 0.880961
frac = 0.212499
frac = 0.678122
frac = 0.633556
frac = 0.516312
frac = 0.199962
frac = 0.283836
frac = 0.528544
frac = 0.091857
frac = 0.246489
frac = 0.421346
frac = 0.791452
frac = 0.526553
frac = 0.261680
frac = 0.148681
frac = 0.741056
frac = 0.450364
frac = 0.326961
frac = 0.969582
frac = 0.172274
frac = 0.930773
frac = 0.732197
frac = 0.050660
frac = 0.994993
frac = 0.181246
frac = 0.831836
frac = 0.362717
frac = 0.412188
frac = 0.607275
frac = 0.230058
frac = 0.200582
frac = 0.530321
frac = 0.323521
frac = 0.615927
frac = 0.739704
frac = 0.407540
frac = 0.828339
frac = 0.812768
frac = 0.830982
frac = 0.278003
frac = 0.778415
frac = 0.281349
frac = 0.163635
frac = 0.366453
frac = 0.378579
frac = 0.483238
frac = 0.244441
frac = 0.913605
frac = 0.206383
frac = 0.445222
frac = 0.383774
frac = 0.579817
frac = 0.573385
frac = 0.588387
frac = 0.532088
frac = 0.437263
frac = 0.771218
frac = 0.839476
frac = 0.603966
frac = 0.309309
frac = 0.040136
frac = 0.574348
frac = 0.454829
frac = 0.774923
frac = 0.989167
frac = 0.782314
frac = 0.378803
frac = 0.630050
frac = 0.185670
frac = 0.085317
frac = 0.131084
frac = 0.079980
frac = 0.816930
frac = 0.647753
frac = 0.620574
frac = 0.606696
frac = 0.731819
frac = 0.050741
frac = 0.306583
frac = 0.067113
frac = 0.175950
frac = 0.135716
frac = 0.792919
frac = 0.284588
frac = 0.038728
frac = 0.565026
frac = 0.634969
frac = 0.324144
frac = 0.246002
frac = 0.185070
frac = 0.371700
frac = 0.779892
frac = 0.288386
frac = 0.928932
frac = 0.711427
frac = 0.767389
frac = 0.084886
frac = 0.745563
frac = 0.134776
frac = 0.991090
frac = 0.402263
frac = 0.382560
frac = 0.789161
frac = 0.488817
frac = 0.003704
frac = 0.724062
frac = 0.126306
frac = 0.545464
frac = 0.534705
frac = 0.616780
frac = 0.291151
frac = 0.039096
frac = 0.624936
frac = 0.622658
frac = 0.606139
frac = 0.489254
frac = 0.681763
frac = 0.584436
frac = 0.050223
frac = 0.200356
frac = 0.531765
frac = 0.361855
frac = 0.408834
frac = 0.512177
Reading client-1.trace
frac = 0.100496
frac = 0.175429
frac = 0.930963
frac = 0.526233
frac = 0.509747
frac = 0.701384
frac = 0.230584
frac = 0.105341
frac = 0.802880
frac = 0.200527
frac = 0.638435
frac = 0.153450
frac = 0.876470
frac = 0.244288
frac = 0.282230
frac = 0.057938
frac = 0.305082
frac = 0.396396
frac = 0.275670
frac = 0.430983
frac = 0.809372
frac = 0.275629
frac = 0.856291
frac = 0.606930
frac = 0.455508
frac = 0.993089
frac = 0.061580
frac = 0.279920
frac = 0.533084
frac = 0.350575
frac = 0.600672
frac = 0.542202
frac = 0.788993
frac = 0.011159
frac = 0.959061
frac = 0.537747
frac = 0.027495
frac = 0.325219
frac = 0.696954
frac = 0.442216
frac = 0.440228
frac = 0.968203
frac = 0.079338
frac = 0.099677
frac = 0.132336
frac = 0.686096
frac = 0.693461
frac = 0.638630
frac = 0.113605
frac = 0.431934
frac = 0.482534
frac = 0.165170
frac = 0.438042
frac = 0.651317
frac = 0.703562
frac = 0.305365
frac = 0.250365
frac = 0.741552
frac = 0.866995
frac = 0.150991
frac = 0.840819
frac = 0.152367
frac = 0.752384
frac = 0.741525
frac = 0.780164
frac = 0.814176
frac = 0.230525
frac = 0.950476
frac = 0.405027
frac = 0.750288
frac = 0.351632
frac = 0.856898
frac = 0.394433
frac = 0.960957
frac = 0.479978
frac = 0.643851
frac = 0.363399
frac = 0.790599
frac = 0.842672
frac = 0.996167
frac = 0.503126
frac = 0.282282
frac = 0.904833
frac = 0.111404
frac = 0.304724
frac = 0.163381
frac = 0.324033
frac = 0.284851
frac = 0.106512
frac = 0.521208
frac = 0.280834
frac = 0.886028
frac = 0.182996
frac = 0.726536
frac = 0.533164
frac = 0.922086
frac = 0.357588
frac = 0.148852
frac = 0.897439
frac = 0.278313
frac = 0.124030
frac = 0.426914
frac = 0.244055
frac = 0.395854
frac = 0.371903
frac = 0.942775
frac = 0.639609
frac = 0.430707
frac = 0.078841
frac = 0.350526
frac = 0.686519
frac = 0.407822
frac = 0.190645
frac = 0.031785
frac = 0.438466
frac = 0.185789
frac = 0.711167
frac = 0.639931
frac = 0.092548
frac = 0.134996
frac = 0.960775
frac = 0.456397
frac = 0.803607
frac = 0.705162
frac = 0.193726
frac = 0.320846
frac = 0.550575
frac = 0.509979
frac = 0.072051
frac = 0.711778
frac = 0.694496
frac = 0.889818
frac = 0.636596
frac = 0.075582
frac = 0.927103
frac = 0.282233
frac = 0.399081
frac = 0.192830
frac = 0.619165
frac = 0.037499
frac = 0.624770
frac = 0.890187
frac = 0.438270
frac = 0.301603
frac = 0.880120
frac = 0.863033
frac = 0.089633
frac = 0.028644
frac = 0.101864
frac = 0.437807
frac = 0.714534
frac = 0.232581
frac = 0.396756
frac = 0.248435
frac = 0.347569
frac = 0.728041
frac = 0.010063
frac = 0.011674
frac = 0.254247
frac = 0.968030
frac = 0.949105
frac = 0.809377
frac = 0.873262
frac = 0.241335
frac = 0.904669
frac = 0.462322
frac = 0.433705
frac = 0.664731
frac = 0.884372
frac = 0.625584
frac = 0.149102
frac = 0.473932
frac = 0.218690
frac = 0.509192
frac = 0.197643
frac = 0.762387
frac = 0.151352
frac = 0.091853
frac = 0.002246
frac = 0.077043
frac = 0.382353
frac = 0.105029
frac = 0.160634
frac = 0.392800
frac = 0.339613
frac = 0.630126
frac = 0.386134
frac = 0.399610
frac = 0.395560
frac = 0.098795
frac = 0.883965
frac = 0.530033
frac = 0.186592
frac = 0.937879
frac = 0.394907
frac = 0.154766
frac = 0.660538
frac = 0.077341
frac = 0.155982
frac = 0.428305
frac = 0.485431
frac = 0.652550
frac = 0.246152
frac = 0.509685
frac = 0.659958
frac = 0.066326
frac = 0.826474
frac = 0.491452
frac = 0.393558
frac = 0.791676
frac = 0.267119
frac = 0.362590
frac = 0.177275
frac = 0.598994
frac = 0.149776
frac = 0.344918
frac = 0.183005
frac = 0.805227
frac = 0.369794
frac = 0.418046
frac = 0.146362
frac = 0.123218
frac = 0.311120
frac = 0.936018
frac = 0.618815
frac = 0.841159
frac = 0.576689
frac = 0.731261
frac = 0.944627
frac = 0.457715
frac = 0.210911
frac = 0.431224
frac = 0.933670
frac = 0.912397
frac = 0.144353
frac = 0.693291
frac = 0.155731
frac = 0.199100
frac = 0.798099
frac = 0.456037
frac = 0.186922
frac = 0.631265
frac = 0.447535
frac = 0.279230
frac = 0.859437
frac = 0.977692
frac = 0.082669
frac = 0.396066
frac = 0.399248
frac = 0.660886
frac = 0.598766
frac = 0.417905
frac = 0.637228
frac = 0.106099
frac = 0.193273
frac = 0.059969
frac = 0.130543
frac = 0.480115
frac = 0.942614
frac = 0.729471
frac = 0.040004
frac = 0.480030
frac = 0.187849
frac = 0.859423
frac = 0.196960
frac = 0.182415
frac = 0.480187
frac = 0.543638
frac = 0.499380
frac = 0.311772
frac = 0.007177
frac = 0.856994
frac = 0.325740
frac = 0.318527
frac = 0.102848
frac = 0.366741
frac = 0.326119
frac = 0.068721
frac = 0.916032
frac = 0.462995
frac = 0.887264
frac = 0.251069
frac = 0.889972
frac = 0.483371
frac = 0.362659
frac = 0.736930
frac = 0.489077
frac = 0.692471
frac = 0.312059
frac = 0.141209
frac = 0.121369
frac = 0.311936
frac = 0.122638
frac = 0.725762
frac = 0.726726
frac = 0.545822
frac = 0.596931
frac = 0.047715
frac = 0.147677
frac = 0.474958
frac = 0.514604
frac = 0.816324
frac = 0.016487
frac = 0.473840
frac = 0.232787
frac = 0.257282
frac = 0.372299
frac = 0.137312
frac = 0.996905
frac = 0.260938
frac = 0.885096
frac = 0.367911
frac = 0.467621
frac = 0.803854
frac = 0.831000
frac = 0.357282
frac = 0.822165
frac = 0.842067
frac = 0.584390
frac = 0.110204
frac = 0.543153
frac = 0.021852
frac = 0.642254
frac = 0.837740
frac = 0.765496
frac = 0.559165
frac = 0.830382
frac = 0.184717
frac = 0.516296
frac = 0.366405
frac = 0.416355
frac = 0.097698
frac = 0.802069
frac = 0.557175
frac = 0.439423
frac = 0.236920
frac = 0.384203
frac = 0.197750
frac = 0.061806
frac = 0.743564
frac = 0.989138
frac = 0.403903
frac = 0.043454
frac = 0.176380
frac = 0.037220
frac = 0.855644
frac = 0.418181
frac = 0.608805
frac = 0.689405
frac = 0.130736
frac = 0.152362
frac = 0.598729
frac = 0.088680
frac = 0.278797
frac = 0.359576
frac = 0.432005
frac = 0.109063
frac = 0.288014
frac = 0.685764
frac = 0.466642
frac = 0.155374
frac = 0.876850
frac = 0.891721
frac = 0.453956
frac = 0.599422
frac = 0.626625
frac = 0.537813
frac = 0.385914
frac = 0.794730
frac = 0.690022
frac = 0.491113
frac = 0.634125
frac = 0.681881
frac = 0.169731
frac = 0.475844
frac = 0.198945
frac = 0.620713
frac = 0.726533
frac = 0.669317
frac = 0.876498
frac = 0.763364
frac = 0.991558
frac = 0.885968
frac = 0.513395
frac = 0.471661
frac = 0.362114
frac = 0.803440
frac = 0.665704
frac = 0.832358
frac = 0.762531
frac = 0.345993
frac = 0.447053
frac = 0.305631
frac = 0.936958
frac = 0.595145
frac = 0.628819
frac = 0.895899
frac = 0.645795
frac = 0.115240
frac = 0.530818
frac = 0.148449
frac = 0.502745
frac = 0.201868
frac = 0.882308
frac = 0.536149
frac = 0.297117
frac = 0.857638
frac = 0.165451
frac = 0.649086
frac = 0.288343
frac = 0.731394
frac = 0.417120
frac = 0.580229
frac = 0.625216
frac = 0.673224
frac = 0.893410
frac = 0.289768
frac = 0.950046
frac = 0.626434
frac = 0.198212
frac = 0.273094
frac = 0.397194
frac = 0.018857
frac = 0.438338
frac = 0.863548
frac = 0.823375
frac = 0.583483
frac = 0.554282
frac = 0.848503
frac = 0.504346
frac = 0.106593
frac = 0.434061
frac = 0.110936
frac = 0.557740
frac = 0.913511
frac = 0.329821
frac = 0.445074
frac = 0.042062
frac = 0.918555
frac = 0.512219
frac = 0.910151
frac = 0.445525
frac = 0.541103
frac = 0.457195
frac = 0.500876
frac = 0.958605
frac = 0.214982
frac = 0.770266
frac = 0.243552
frac = 0.543835
frac = 0.526775
frac = 0.218767
frac = 0.318528
frac = 0.352183
frac = 0.529822
frac = 0.867594
frac = 0.817781
frac = 0.912036
frac = 0.465241
frac = 0.961614
frac = 0.355781
frac = 0.885342
frac = 0.660717
frac = 0.843480
frac = 0.259543
frac = 0.873086
frac = 0.029667
frac = 0.571322
frac = 0.507060
frac = 0.352474
frac = 0.723365
frac = 0.523101
frac = 0.836500
frac = 0.783407
frac = 0.907985
frac = 0.193728
frac = 0.514670
frac = 0.577898
frac = 0.414541
frac = 0.484276
frac = 0.677562
frac = 0.629482
frac = 0.830400
frac = 0.524462
frac = 0.322765
frac = 0.843655
frac = 0.560236
frac = 0.739948
frac = 0.935864
frac = 0.451315
frac = 0.709072
frac = 0.132734
frac = 0.755607
frac = 0.211525
frac = 0.804394
frac = 0.527966
frac = 0.066206
frac = 0.826468
frac = 0.048233
frac = 0.086542
Reading client-2.trace
frac = 0.143608
frac = 0.342924
frac = 0.294871
frac = 0.908171
frac = 0.434821
frac = 0.401986
frac = 0.633029
frac = 0.993493
frac = 0.866370
frac = 0.601265
frac = 0.429799
frac = 0.585229
frac = 0.500117
frac = 0.462571
frac = 0.927598
frac = 0.669582
frac = 0.756362
frac = 0.478357
frac = 0.270550
frac = 0.661855
frac = 0.528667
frac = 0.590802
frac = 0.726536
frac = 0.891465
frac = 0.879186
frac = 0.911056
frac = 0.961507
frac = 0.504800
frac = 0.673003
frac = 0.117872
frac = 0.624255
frac = 0.528639
frac = 0.287376
frac = 0.459351
frac = 0.409951
frac = 0.168288
frac = 0.117461
frac = 0.163355
frac = 0.926802
frac = 0.830390
frac = 0.254797
frac = 0.633477
frac = 0.028790
frac = 0.085445
frac = 0.607823
frac = 0.537965
frac = 0.603697
frac = 0.276949
frac = 0.983132
frac = 0.866165
frac = 0.970364
frac = 0.091750
frac = 0.245640
frac = 0.248611
frac = 0.133395
frac = 0.837121
frac = 0.628634
frac = 0.287232
frac = 0.410168
frac = 0.043355
frac = 0.369613
frac = 0.582186
frac = 0.153469
frac = 0.621646
frac = 0.098842
frac = 0.125885
frac = 0.974646
frac = 0.682512
frac = 0.554659
frac = 0.750520
frac = 0.747639
frac = 0.799793
frac = 0.844252
frac = 0.329275
frac = 0.574332
frac = 0.077673
frac = 0.281183
frac = 0.245366
frac = 0.790914
frac = 0.070409
frac = 0.643002
frac = 0.937988
frac = 0.138023
frac = 0.897381
frac = 0.864365
frac = 0.244906
frac = 0.695430
frac = 0.114447
frac = 0.876302
frac = 0.299305
frac = 0.388268
frac = 0.352309
frac = 0.326564
frac = 0.306323
frac = 0.905139
frac = 0.970163
frac = 0.957288
frac = 0.396906
frac = 0.620701
frac = 0.673725
frac = 0.376452
frac = 0.364665
frac = 0.087329
frac = 0.166959
frac = 0.399091
frac = 0.959317
frac = 0.026552
frac = 0.067518
frac = 0.586970
frac = 0.712597
frac = 0.474076
frac = 0.139821
frac = 0.739925
frac = 0.821106
frac = 0.581925
frac = 0.052703
frac = 0.668947
frac = 0.387434
frac = 0.491533
frac = 0.590435
frac = 0.387906
frac = 0.015992
frac = 0.032265
frac = 0.040633
frac = 0.132686
frac = 0.536313
frac = 0.337251
frac = 0.696890
frac = 0.516921
frac = 0.013317
frac = 0.032500
frac = 0.792809
frac = 0.771675
frac = 0.537356
frac = 0.041339
frac = 0.864904
frac = 0.528571
frac = 0.806681
frac = 0.523754
frac = 0.620315
frac = 0.104442
frac = 0.665507
frac = 0.362261
frac = 0.426292
frac = 0.070066
frac = 0.170442
frac = 0.229059
frac = 0.585672
frac = 0.306400
frac = 0.764155
frac = 0.690464
frac = 0.610870
frac = 0.224549
frac = 0.582263
frac = 0.746674
frac = 0.572459
frac = 0.075992
frac = 0.042087
frac = 0.812197
frac = 0.396969
frac = 0.474794
frac = 0.215518
frac = 0.124464
frac = 0.578929
frac = 0.873693
frac = 0.353808
frac = 0.530044
frac = 0.518613
frac = 0.419352
frac = 0.975219
frac = 0.362562
frac = 0.171487
frac = 0.350031
frac = 0.254007
frac = 0.398779
frac = 0.582041
frac = 0.935310
frac = 0.745130
frac = 0.613737
frac = 0.815481
frac = 0.500124
frac = 0.739583
frac = 0.975963
frac = 0.625019
frac = 0.076093
frac = 0.956192
frac = 0.985178
frac = 0.961748
frac = 0.637826
frac = 0.278850
frac = 0.660082
frac = 0.719496
frac = 0.027993
frac = 0.046878
frac = 0.635939
frac = 0.306435
frac = 0.263525
frac = 0.994232
frac = 0.651300
frac = 0.372346
frac = 0.649203
frac = 0.204252
frac = 0.269246
frac = 0.140322
frac = 0.705992
frac = 0.518789
frac = 0.714588
frac = 0.374917
frac = 0.928220
frac = 0.459982
frac = 0.176314
frac = 0.122554
frac = 0.230777
frac = 0.781274
frac = 0.308670
frac = 0.490699
frac = 0.602442
frac = 0.172715
frac = 0.454457
frac = 0.691755
frac = 0.637768
frac = 0.416136
frac = 0.568506
frac = 0.134935
frac = 0.478873
frac = 0.638959
frac = 0.584636
frac = 0.169384
frac = 0.838109
frac = 0.709820
frac = 0.438660
frac = 0.907003
frac = 0.701586
frac = 0.417251
frac = 0.647009
frac = 0.023609
frac = 0.908080
frac = 0.035339
frac = 0.585510
frac = 0.151092
frac = 0.407561
frac = 0.439970
frac = 0.142770
frac = 0.995339
frac = 0.581291
frac = 0.437318
frac = 0.914086
frac = 0.333283
frac = 0.987245
frac = 0.452329
frac = 0.190076
frac = 0.336832
frac = 0.573717
frac = 0.525794
frac = 0.163064
frac = 0.945870
frac = 0.205224
frac = 0.612390
frac = 0.237117
frac = 0.226619
frac = 0.766963
frac = 0.076431
frac = 0.519416
frac = 0.469271
frac = 0.088313
frac = 0.869074
frac = 0.123819
frac = 0.369848
frac = 0.729232
frac = 0.767718
frac = 0.288412
frac = 0.988563
frac = 0.398756
frac = 0.591208
frac = 0.276259
frac = 0.650335
frac = 0.258883
frac = 0.140041
frac = 0.689314
frac = 0.679283
frac = 0.834470
frac = 0.850011
frac = 0.403915
frac = 0.400784
frac = 0.806826
frac = 0.650647
frac = 0.199524
frac = 0.228960
frac = 0.503452
frac = 0.366594
frac = 0.354111
frac = 0.069032
frac = 0.759149
frac = 0.628466
frac = 0.046901
frac = 0.345959
frac = 0.859996
frac = 0.479423
frac = 0.467752
frac = 0.440215
frac = 0.348977
frac = 0.923430
frac = 0.437533
frac = 0.303416
frac = 0.379236
frac = 0.606471
frac = 0.022097
frac = 0.531339
frac = 0.807242
frac = 0.283716
frac = 0.474276
frac = 0.180746
frac = 0.408023
frac = 0.852652
frac = 0.391216
frac = 0.907653
frac = 0.204584
frac = 0.546119
frac = 0.369815
frac = 0.901156
frac = 0.663452
frac = 0.727139
frac = 0.027548
frac = 0.110049
frac = 0.188716
frac = 0.214495
frac = 0.877123
frac = 0.242616
frac = 0.938472
frac = 0.371661
frac = 0.584192
frac = 0.515474
frac = 0.913933
frac = 0.847296
frac = 0.013873
frac = 0.542878
frac = 0.383668
frac = 0.430019
frac = 0.059784
frac = 0.119872
frac = 0.779647
frac = 0.270945
frac = 0.001863
frac = 0.563384
frac = 0.441543
frac = 0.492322
frac = 0.554787
frac = 0.784246
frac = 0.284274
frac = 0.422726
frac = 0.541863
frac = 0.550483
frac = 0.136116
frac = 0.644118
frac = 0.529713
frac = 0.585166
frac = 0.362560
frac = 0.038494
frac = 0.562599
frac = 0.239265
frac = 0.553937
frac = 0.298315
frac = 0.928866
frac = 0.354606
frac = 0.268819
frac = 0.678903
frac = 0.076915
frac = 0.446581
frac = 0.248333
frac = 0.730004
frac = 0.869704
frac = 0.979852
frac = 0.203785
frac = 0.721647
frac = 0.429009
frac = 0.527114
frac = 0.254936
frac = 0.210497
frac = 0.046669
frac = 0.092133
frac = 0.181067
frac = 0.636757
frac = 0.476597
frac = 0.628426
frac = 0.712839
frac = 0.189308
frac = 0.165697
frac = 0.533154
frac = 0.481228
frac = 0.925933
frac = 0.291628
frac = 0.574017
frac = 0.901561
frac = 0.506492
frac = 0.483034
frac = 0.171519
frac = 0.022523
frac = 0.274305
frac = 0.030581
frac = 0.236548
frac = 0.987900
frac = 0.152174
frac = 0.423483
frac = 0.825533
frac = 0.451327
frac = 0.560592
frac = 0.224819
frac = 0.511267
frac = 0.971255
frac = 0.836709
frac = 0.759694
frac = 0.540125
frac = 0.797668
frac = 0.817232
frac = 0.295931
frac = 0.943319
frac = 0.134384
frac = 0.540996
frac = 0.919000
frac = 0.511412
frac = 0.104714
frac = 0.778300
frac = 0.477545
frac = 0.247101
frac = 0.308524
frac = 0.552810
frac = 0.966445
frac = 0.247153
frac = 0.514597
frac = 0.392602
frac = 0.810746
frac = 0.806848
frac = 0.496544
frac = 0.522655
frac = 0.083448
frac = 0.991552
frac = 0.423945
frac = 0.631686
frac = 0.443812
frac = 0.035654
frac = 0.662202
frac = 0.670065
frac = 0.239381
frac = 0.403539
frac = 0.816051
frac = 0.434778
frac = 0.423289
frac = 0.724581
frac = 0.560875
frac = 0.044178
frac = 0.652553
frac = 0.649108
frac = 0.266595
frac = 0.190879
frac = 0.612028
frac = 0.047126
frac = 0.708767
frac = 0.543204
frac = 0.798223
frac = 0.448507
frac = 0.808972
frac = 0.485947
frac = 0.455747
frac = 0.515429
frac = 0.727624
frac = 0.786101
frac = 0.923397
frac = 0.708371
frac = 0.485997
frac = 0.615219
frac = 0.413514
frac = 0.125445
frac = 0.379117
frac = 0.559259
frac = 0.389010
frac = 0.509092
frac = 0.552958
frac = 0.541730
frac = 0.202549
frac = 0.953558
frac = 0.993129
frac = 0.110185
frac = 0.345160
frac = 0.373322
frac = 0.951076
frac = 0.801479
frac = 0.721064
frac = 0.241125
frac = 0.566288
frac = 0.022694
frac = 0.888831
frac = 0.790328
frac = 0.868401
frac = 0.204761
frac = 0.661492
frac = 0.792272
frac = 0.748450
frac = 0.233437
frac = 0.489108
frac = 0.558926
Reading client-3.trace
frac = 0.622614
frac = 0.886198
frac = 0.140569
frac = 0.523176
frac = 0.466151
frac = 0.636994
frac = 0.826879
frac = 0.283169
frac = 0.548951
frac = 0.886736
frac = 0.162092
frac = 0.558891
frac = 0.437667
frac = 0.624870
frac = 0.131391
frac = 0.325288
frac = 0.120814
frac = 0.336427
frac = 0.810335
frac = 0.694201
frac = 0.881167
frac = 0.901548
frac = 0.396077
frac = 0.824422
frac = 0.449484
frac = 0.606145
frac = 0.102829
frac = 0.169943
frac = 0.820475
frac = 0.022319
frac = 0.238784
frac = 0.837958
